ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506358240,2079085,4.1913486,-3.6309052,8.121635,-0.0061086523,-0.002443461,-0.004886922,71
1781506358281,2079771,4.203324,-3.6117446,8.092895,-0.002443461,-0.002443461,-0.004886922,71
1781506358321,2081604,4.1793733,-3.6117446,8.116845,-0.004886922,-0.0036651916,-0.0061086523,71
1781506358361,2081604,4.1793733,-3.6117446,8.116845,-0.004886922,-0.002443461,-0.0061086523,71
1781506358400,2082567,4.239249,-3.6380904,8.088105,-0.004886922,-0.0036651916,-0.008552114,71
1781506358441,2084758,4.181768,-3.616535,8.116845,-0.012217305,-0.0061086523,-0.008552114,71
1781506358481,2085896,4.3278666,-3.626115,8.080919,0.0012217305,-0.0061086523,-0.0036651916,71
1781506358521,2085896,4.3278666,-3.626115,8.080919,-0.009773844,0.0,0.0,71
1781506358561,2087002,4.2368546,-3.6333003,8.037808,0.002443461,-0.0012217305,-0.0061086523,72
1781506358604,2088277,4.1985335,-3.5949793,8.10966,-0.013439035,0.0,-0.004886922,72
1781506358641,2090798,4.306311,-3.6955717,8.064155,-0.0012217305,0.004886922,-0.0036651916,72
1781506358683,2092111,4.1889534,-3.5111523,8.1000805,0.002443461,-0.002443461,-0.0061086523,72
1781506358721,2090685,4.129077,-3.6333003,8.030623,-0.002443461,-0.0036651916,0.0012217305,72
1781506358761,2090685,4.129077,-3.6333003,8.030623,0.010995574,-0.0012217305,0.002443461,72
1781506358802,2085296,4.1626077,-3.6380904,8.092895,0.0012217305,-0.0012217305,0.0,72
1781506358841,2083727,4.2248793,-3.5758188,8.08571,-0.002443461,-0.004886922,-0.002443461,72
1781506358882,2082498,4.3182864,-3.6309052,8.131216,0.004886922,0.0036651916,0.002443461,72
1781506358923,2081882,4.2368546,-3.5973744,8.064155,0.007330383,0.0036651916,-0.0061086523,72
1781506358961,2081790,4.119497,-3.5686338,8.167142,0.0012217305,-0.0036651916,0.0012217305,72
1781506359000,2081588,4.126682,-3.6931767,8.025833,0.0036651916,-0.0012217305,0.0,72
1781506359042,2081588,4.126682,-3.6931767,8.025833,-0.0012217305,0.0012217305,0.0,72
1781506359083,2081322,4.1530275,-3.5470781,8.107265,0.009773844,0.007330383,-0.0036651916,72
1781506359120,2081497,4.2416444,-3.5949793,8.112056,-0.0036651916,0.002443461,0.004886922,72
1781506359161,2081497,4.2416444,-3.5949793,8.112056,0.008552114,0.002443461,0.0036651916,72
1781506359203,2082085,4.2081137,-3.578214,8.068944,0.0012217305,-0.004886922,0.0,72
1781506359240,2083618,4.3182864,-3.5973744,8.145586,0.004886922,-0.004886922,0.0,72
1781506359282,2083618,4.3182864,-3.5973744,8.145586,-0.002443461,-0.0061086523,0.0012217305,72
1781506359321,2084453,4.1578174,-3.6189299,8.097685,-0.0036651916,-0.004886922,-0.0012217305,72
1781506359362,2085400,4.210509,-3.583004,8.07613,-0.007330383,0.0,-0.009773844,72
1781506359401,2087457,4.1865582,-3.5638437,8.092895,-0.013439035,-0.004886922,-0.010995574,72
1781506359442,2088581,4.2320642,-3.6333003,8.052179,-0.012217305,-0.002443461,-0.0061086523,72
1781506359481,2089749,4.1961384,-3.6404853,8.08571,-0.0061086523,-0.002443461,-0.0061086523,72
1781506359520,2089749,4.1961384,-3.6404853,8.08571,-0.008552114,0.0,-0.009773844,72
1781506359560,2090918,4.2416444,-3.6285102,8.107265,-0.014660766,0.004886922,-0.010995574,72
1781506359602,2092130,4.24883,-3.626115,8.064155,0.002443461,0.0,-0.013439035,72
1781506359642,2093360,4.181768,-3.6069546,8.059364,-0.009773844,-0.002443461,-0.0061086523,72
1781506359682,2089653,4.2152987,-3.6644359,8.016253,0.004886922,-0.004886922,-0.0061086523,72
1781506359722,2086747,4.3158913,-3.6979668,8.10487,0.004886922,0.0,-0.0012217305,72
